                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.146,                 3.2644,                 1.0314,                0.98407,                      1,                  0.995,                0.86213,                0.62411,                 1.0008,                0.98419,             0.00040741,             0.00040741,             0.00040741
                      2,                0.98843,                 0.9191,                  1.014,                0.99308,                      1,                  0.995,                0.87202,                0.61728,                0.62714,                  1.031,             0.00082135,             0.00082135,             0.00082135
                      3,                  1.001,                0.76168,                 1.0306,                0.97284,                0.95008,                 0.9814,                0.76966,                0.82666,                0.76592,                  1.091,              0.0012326,              0.0012326,              0.0012326
                      4,                 1.0476,                0.75971,                 1.0539,                0.97961,                0.99264,                  0.995,                0.82831,                0.66123,                0.71723,                 1.0477,              0.0012376,              0.0012376,              0.0012376
                      5,                0.98155,                0.63835,                 1.0349,                0.98586,                      1,                  0.995,                0.82875,                0.85933,                 1.2152,                 1.1041,              0.0012376,              0.0012376,              0.0012376
                      6,                0.93846,                0.60467,                 1.0064,                0.98772,                      1,                  0.995,                0.82385,                0.79388,                0.48104,                 1.0519,              0.0012335,              0.0012335,              0.0012335
                      7,                0.96075,                0.58656,                0.99683,                 0.9388,                      1,                 0.9934,                0.84558,                0.63721,                0.56104,                0.98864,              0.0012294,              0.0012294,              0.0012294
                      8,                0.92111,                0.55911,                0.99101,                0.98173,                      1,                  0.995,                0.84669,                0.60903,                0.44887,                  1.008,              0.0012252,              0.0012252,              0.0012252
                      9,                 0.8957,                0.54827,                 1.0008,                 0.9377,                      1,                  0.995,                0.91232,                0.55468,                0.45355,                  0.979,              0.0012211,              0.0012211,              0.0012211
                     10,                0.86184,                0.52189,                0.97867,                0.95198,                      1,                0.97499,                0.82838,                0.70183,                0.46318,                 1.0178,               0.001217,               0.001217,               0.001217
                     11,                 0.8727,                 0.5243,                0.97805,                0.99143,                      1,                  0.995,                0.87567,                0.54678,                  0.402,                0.98167,              0.0012129,              0.0012129,              0.0012129
                     12,                0.89799,                0.53634,                 0.9925,                 0.7921,                      1,                0.79462,                0.68448,                0.61298,                 8.4605,                 1.0009,              0.0012087,              0.0012087,              0.0012087
                     13,                0.86499,                0.51503,                 0.9739,                0.85025,                      1,                0.88743,                0.75059,                0.70261,                0.89387,                 1.0368,              0.0012046,              0.0012046,              0.0012046
                     14,                0.85637,                0.51373,                0.97704,                0.98987,                      1,                  0.995,                0.88861,                 0.5068,                0.38793,                0.98785,              0.0012005,              0.0012005,              0.0012005
                     15,                0.85907,                0.49994,                0.95874,                0.98224,                      1,                  0.995,                0.90357,                0.49172,                0.36984,                0.99061,              0.0011964,              0.0011964,              0.0011964
                     16,                0.80582,                0.49256,                0.95715,                 0.9927,                      1,                  0.995,                0.88971,                 0.4927,                0.37242,                0.97714,              0.0011922,              0.0011922,              0.0011922
                     17,                0.81957,                0.48746,                0.95852,                0.98924,                      1,                  0.995,                0.88543,                0.54221,                0.35297,                 1.0254,              0.0011881,              0.0011881,              0.0011881
                     18,                0.80043,                0.46652,                0.95633,                0.90678,                      1,                0.93281,                0.82652,                0.56803,                0.42766,                0.98094,               0.001184,               0.001184,               0.001184
                     19,                 0.8059,                0.47755,                0.95473,                0.93916,                      1,                  0.995,                0.84426,                0.65171,                0.43089,                 1.0163,              0.0011799,              0.0011799,              0.0011799
                     20,                0.78963,                0.46058,                0.93994,                0.98785,                      1,                  0.995,                0.88216,                0.46254,                0.36603,                0.96036,              0.0011757,              0.0011757,              0.0011757
                     21,                0.78686,                0.45702,                0.94481,                0.80517,                      1,                0.81237,                0.74294,                0.47506,                 2.5679,                0.95462,              0.0011716,              0.0011716,              0.0011716
                     22,                0.75644,                0.44296,                0.92753,                0.84669,                      1,                0.88372,                0.79621,                 0.4211,                0.82669,                0.95893,              0.0011675,              0.0011675,              0.0011675
                     23,                0.75369,                0.44374,                0.92922,                0.99134,                      1,                  0.995,                0.92597,                0.44393,                0.36705,                0.94829,              0.0011634,              0.0011634,              0.0011634
                     24,                0.78347,                0.44306,                0.94478,                0.99384,                      1,                  0.995,                0.92035,                0.42763,                 0.3256,                0.94987,              0.0011593,              0.0011593,              0.0011593
                     25,                0.82542,                0.45542,                 0.9501,                0.88347,                      1,                 0.8955,                0.82139,                0.45768,                0.61328,                0.96642,              0.0011551,              0.0011551,              0.0011551
                     26,                0.73823,                0.42934,                0.93422,                0.97507,                      1,                  0.995,                0.92833,                 0.3935,                0.38479,                 0.9538,               0.001151,               0.001151,               0.001151
                     27,                0.74757,                0.42842,                0.93587,                0.82314,                      1,                0.83189,                0.75215,                0.45154,                 1.1581,                0.95909,              0.0011469,              0.0011469,              0.0011469
